1000 5 3 5
10000 46 33 33
100000 454 202 208
500000 2512 968 968
1000 4 2 5
10000 44 33 33
100000 454 200 207
500000 2227 962 979
1000 4 3 5
10000 48 33 32
100000 503 200 199
500000 2387 968 955
1000 5 3 4
10000 48 36 32
100000 508 200 210
500000 2307 962 951
1000 4 3 4
10000 43 33 33
100000 489 207 200
500000 2319 991 962
1000 4 3 5
10000 44 33 33
100000 467 214 200
500000 2402 963 952
1000 4 2 5
10000 44 32 34
100000 514 207 198
500000 2257 951 999
1000 4 3 4
10000 44 32 32
100000 484 199 204
500000 2325 951 953
1000 4 3 4
10000 44 33 31
100000 495 200 198
500000 2254 959 961
1000 4 3 4
10000 44 32 32
100000 493 200 198
500000 2277 975 962
