1000 2 6 6
10000 20 34 34
100000 215 218 221
500000 1047 1070 1053
1000 2 5 6
10000 21 33 35
100000 221 220 219
500000 1055 1081 1079
1000 2 5 6
10000 22 32 35
100000 244 218 221
500000 1047 1080 1104
1000 2 6 6
10000 20 31 38
100000 247 229 226
500000 1033 1053 1077
1000 2 5 5
10000 20 32 33
100000 234 221 220
500000 1038 1075 1076
1000 2 5 6
10000 20 32 32
100000 220 218 219
500000 1072 1077 1075
1000 3 5 6
10000 20 32 32
100000 205 218 226
500000 1063 1077 1077
1000 2 6 6
10000 20 33 33
100000 233 217 227
500000 1042 1073 1067
1000 2 5 6
10000 20 31 33
100000 205 218 220
500000 1048 1069 1053
1000 2 5 6
10000 20 32 34
100000 255 218 235
500000 1071 1074 1067
