1000 2 6 7
10000 22 35 32
100000 205 221 229
500000 1043 1077 1041
1000 2 6 6
10000 21 33 35
100000 205 225 220
500000 1031 1042 1081
1000 2 6 6
10000 21 34 34
100000 205 220 220
500000 1015 1091 1100
1000 2 6 6
10000 21 35 34
100000 210 224 220
500000 1061 1094 1164
1000 2 8 6
10000 21 34 32
100000 218 220 220
500000 1064 1077 1080
1000 2 7 6
10000 21 33 31
100000 205 220 220
500000 1054 1090 1066
1000 2 7 6
10000 20 33 31
100000 209 221 220
500000 1049 1065 1073
1000 2 6 6
10000 21 33 31
100000 205 220 220
500000 1067 1087 1076
1000 2 7 6
10000 21 33 32
100000 205 222 217
500000 1027 1065 1066
1000 2 6 5
10000 21 34 34
100000 205 219 225
500000 1028 1063 1076
